Designator,Mid X,Mid Y,Rotation,Layer
"D1",215.188800,-30.289500,90.000000,top
"D2",251.206000,-32.664400,270.000000,top
"D3",227.687200,-39.890700,0.000000,top
"D4",224.359800,-46.786800,180.000000,top
"D5",224.790000,-30.099000,90.000000,top
"D6",270.103600,-38.657200,270.000000,top
"D7",253.009400,-32.688200,270.000000,top
"D8",234.288000,-58.089800,180.000000,top
"D9",252.196600,-24.333200,0.000000,top
"D10",275.678900,-44.297600,0.000000,top
"D11",272.159400,-46.304200,180.000000,top
"D12",235.470700,-61.393400,270.000000,top
"D13",263.653600,-26.593800,0.000000,top
"D14",291.565000,-47.015400,0.000000,top
"D15",275.728100,-46.278800,0.000000,top
"D16",237.413800,-61.390200,270.000000,top
