Designator,Mid X,Mid Y,Rotation,Layer
"D1",163.980000,-87.690000,0.000000,top
"D2",163.980000,-85.690000,0.000000,top
"D3",147.980000,-86.740000,90.000000,top
"D4",131.257500,-88.660000,180.000000,top
"D5",161.877500,-91.690000,180.000000,top
"D6",149.980000,-86.740000,-90.000000,top
"D7",131.257500,-90.660000,180.000000,top
"D8",115.760000,-109.200000,180.000000,top
"D9",163.980000,-89.690000,0.000000,top
"D10",151.980000,-86.740000,-90.000000,top
"D11",133.350000,-92.660000,0.000000,top
"D12",116.820000,-112.110000,-90.000000,top
"D13",179.530000,-106.600000,90.000000,top
"D14",181.530000,-106.600000,90.000000,top
"D15",163.980000,-109.740000,180.000000,top
"D16",163.980000,-107.740000,180.000000,top
